rr_cd,line_cd,station_cd,line_sort,station_sort,station_g_cd,r_type,rr_name,line_name,station_name,pref_cd,lon,lat,f_flag
11,11101,1110101,11101,1110101,1110101,1,JR,JR函館本線(函館〜長万部),函館,1,140.726413,41.773709,1
11,11101,1110102,11101,1110102,1110102,1,JR,JR函館本線(函館〜長万部),五稜郭,1,140.733539,41.803557,1
11,11101,1110103,11101,1110103,1110103,1,JR,JR函館本線(函館〜長万部),桔梗,1,140.722952,41.846457,1
11,11101,1110104,11101,1110104,1110104,1,JR,JR函館本線(函館〜長万部),大中山,1,140.71358,41.864641,1
11,11101,1110105,11101,1110105,1110105,1,JR,JR函館本線(函館〜長万部),七飯,1,140.688556,41.886971,1
11,11101,1110106,11101,1110106,1110106,1,JR,JR函館本線(函館〜長万部),渡島大野,1,140.646525,41.9054,1
11,11101,1110107,11101,1110107,1110107,1,JR,JR函館本線(函館〜長万部),仁山,1,140.635183,41.930011,1
11,11101,1110108,11101,1110108,1110108,1,JR,JR函館本線(函館〜長万部),大沼,1,140.669347,41.971954,1
11,11101,1110109,11101,1110109,1110109,1,JR,JR函館本線(函館〜長万部),大沼公園,1,140.669758,41.980958,1
11,11101,1110110,11101,1110110,1110110,1,JR,JR函館本線(函館〜長万部),赤井川,1,140.642678,42.003267,1
11,11101,1110111,11101,1110111,1110111,1,JR,JR函館本線(函館〜長万部),駒ヶ岳,1,140.610476,42.038809,1
11,11101,1110112,11101,1110112,1110112,1,JR,JR函館本線(函館〜長万部),東山,1,140.605222,42.061720,1
11,11101,1110113,11101,1110113,1110113,1,JR,JR函館本線(函館〜長万部),姫川,1,140.591632,42.081312,1
11,11101,1110114,11101,1110114,1110114,1,JR,JR函館本線(函館〜長万部),池田園,1,140.700333,41.990692,1
11,11101,1110115,11101,1110115,1110115,1,JR,JR函館本線(函館〜長万部),流山温泉,1,140.716358,42.003483,1
11,11101,1110116,11101,1110116,1110116,1,JR,JR函館本線(函館〜長万部),銚子口,1,140.720656,42.015471,1
11,11101,1110117,11101,1110117,1110117,1,JR,JR函館本線(函館〜長万部),鹿部,1,140.771393,42.06439,1
11,11101,1110118,11101,1110118,1110118,1,JR,JR函館本線(函館〜長万部),渡島沼尻,1,140.747596,42.10706,1
11,11101,1110119,11101,1110119,1110119,1,JR,JR函館本線(函館〜長万部),渡島砂原,1,140.689451,42.12164,1
11,11101,1110120,11101,1110120,1110120,1,JR,JR函館本線(函館〜長万部),掛澗,1,140.64598,42.119205,1
11,11101,1110121,11101,1110121,1110121,1,JR,JR函館本線(函館〜長万部),尾白内,1,140.613449,42.111232,1
11,11101,1110122,11101,1110122,1110122,1,JR,JR函館本線(函館〜長万部),東森,1,140.59353,42.106823,1
11,11101,1110123,11101,1110123,1110123,1,JR,JR函館本線(函館〜長万部),森,1,140.573846,42.108917,1
11,11101,1110124,11101,1110124,1110124,1,JR,JR函館本線(函館〜長万部),桂川,1,140.5427876,42.1156004,1
11,11101,1110125,11101,1110125,1110125,1,JR,JR函館本線(函館〜長万部),石谷,1,140.506525,42.135519,1
11,11101,1110126,11101,1110126,1110126,1,JR,JR函館本線(函館〜長万部),本石倉,1,140.471957,42.159668,1
11,11101,1110127,11101,1110127,1110127,1,JR,JR函館本線(函館〜長万部),石倉,1,140.458436,42.17285,1
11,11101,1110128,11101,1110128,1110128,1,JR,JR函館本線(函館〜長万部),落部,1,140.420755,42.187617,1
11,11101,1110129,11101,1110129,1110129,1,JR,JR函館本線(函館〜長万部),野田生,1,140.37586,42.217104,1
11,11101,1110130,11101,1110130,1110130,1,JR,JR函館本線(函館〜長万部),山越,1,140.326593,42.231172,1
11,11101,1110131,11101,1110131,1110131,1,JR,JR函館本線(函館〜長万部),八雲,1,140.273342,42.253391,1
11,11101,1110132,11101,1110132,1110132,1,JR,JR函館本線(函館〜長万部),鷲ノ巣,1,140.269919,42.278389,1
11,11101,1110133,11101,1110133,1110133,1,JR,JR函館本線(函館〜長万部),山崎,1,140.274600,42.314635,1
11,11101,1110134,11101,1110134,1110134,1,JR,JR函館本線(函館〜長万部),黒岩,1,140.288173,42.368296,1
11,11101,1110135,11101,1110135,1110135,1,JR,JR函館本線(函館〜長万部),北豊津,1,140.297868,42.400969,1
11,11101,1110136,11101,1110136,1110136,1,JR,JR函館本線(函館〜長万部),国縫,1,140.320885,42.439319,1
11,11101,1110137,11101,1110137,1110137,1,JR,JR函館本線(函館〜長万部),中ノ沢,1,140.346077,42.477928,1
11,11101,1110138,11101,1110138,1110138,1,JR,JR函館本線(函館〜長万部),長万部,1,140.37507,42.512477,1
11,11102,1110201,11102,1110201,1110138,1,JR,JR函館本線(長万部〜小樽),長万部,1,140.37507,42.512477,1
11,11102,1110202,11102,1110202,1110202,1,JR,JR函館本線(長万部〜小樽),二股,1,140.320821,42.575869,1
11,11102,1110203,11102,1110203,1110203,1,JR,JR函館本線(長万部〜小樽),蕨岱,1,140.313353,42.626353,1
11,11102,1110204,11102,1110204,1110204,1,JR,JR函館本線(長万部〜小樽),黒松内,1,140.305704,42.669608,1
11,11102,1110205,11102,1110205,1110205,1,JR,JR函館本線(長万部〜小樽),熱郛,1,140.375084,42.675653,1
11,11102,1110206,11102,1110206,1110206,1,JR,JR函館本線(長万部〜小樽),目名,1,140.465742,42.761432,1
11,11102,1110207,11102,1110207,1110207,1,JR,JR函館本線(長万部〜小樽),蘭越,1,140.52894,42.804542,1
11,11102,1110208,11102,1110208,1110208,1,JR,JR函館本線(長万部〜小樽),昆布,1,140.596107,42.797984,1
11,11102,1110209,11102,1110209,1110209,1,JR,JR函館本線(長万部〜小樽),ニセコ,1,140.684588,42.808746,1
11,11102,1110210,11102,1110210,1110210,1,JR,JR函館本線(長万部〜小樽),比羅夫,1,140.722615,42.84856,1
11,11102,1110211,11102,1110211,1110211,1,JR,JR函館本線(長万部〜小樽),倶知安,1,140.745471,42.90164,1
11,11102,1110212,11102,1110212,1110212,1,JR,JR函館本線(長万部〜小樽),小沢,1,140.677657,42.97185,1
11,11102,1110213,11102,1110213,1110213,1,JR,JR函館本線(長万部〜小樽),銀山,1,140.715321,43.040888,1
11,11102,1110214,11102,1110214,1110214,1,JR,JR函館本線(長万部〜小樽),然別,1,140.737211,43.12551,1
11,11102,1110215,11102,1110215,1110215,1,JR,JR函館本線(長万部〜小樽),仁木,1,140.770546,43.154091,1
11,11102,1110216,11102,1110216,1110216,1,JR,JR函館本線(長万部〜小樽),余市,1,140.794686,43.186558,1
11,11102,1110217,11102,1110217,1110217,1,JR,JR函館本線(長万部〜小樽),蘭島,1,140.854643,43.19651,1
11,11102,1110218,11102,1110218,1110218,1,JR,JR函館本線(長万部〜小樽),塩谷,1,140.924546,43.202406,1
11,11102,1110219,11102,1110219,1110219,1,JR,JR函館本線(長万部〜小樽),小樽,1,140.993653,43.197172,1
11,11103,1110301,11103,1110301,1110219,1,JR,JR函館本線(小樽〜旭川),小樽,1,140.993653,43.197172,1
11,11103,1110302,11103,1110302,1110302,1,JR,JR函館本線(小樽〜旭川),南小樽,1,141.007883,43.186529,1
11,11103,1110303,11103,1110303,1110303,1,JR,JR函館本線(小樽〜旭川),小樽築港,1,141.029051,43.180752,1
11,11103,1110304,11103,1110304,1110304,1,JR,JR函館本線(小樽〜旭川),朝里,1,141.063923,43.176868,1
11,11103,1110305,11103,1110305,1110305,1,JR,JR函館本線(小樽〜旭川),銭函,1,141.159868,43.143403,1
11,11103,1110306,11103,1110306,1110306,1,JR,JR函館本線(小樽〜旭川),ほしみ,1,141.191402,43.13373,1
11,11103,1110307,11103,1110307,1110307,1,JR,JR函館本線(小樽〜旭川),星置,1,141.210856,43.132375,1
11,11103,1110308,11103,1110308,1110308,1,JR,JR函館本線(小樽〜旭川),稲穂,1,141.222919,43.128115,1
11,11103,1110309,11103,1110309,1110309,1,JR,JR函館本線(小樽〜旭川),手稲,1,141.243785,43.120238,1
11,11103,1110310,11103,1110310,1110310,1,JR,JR函館本線(小樽〜旭川),稲積公園,1,141.257113,43.112023,1
11,11103,1110311,11103,1110311,1110311,1,JR,JR函館本線(小樽〜旭川),発寒,1,141.277273,43.099819,1
11,11103,1110312,11103,1110312,1110312,1,JR,JR函館本線(小樽〜旭川),発寒中央,1,141.294497,43.089271,1
11,11103,1110313,11103,1110313,1110313,1,JR,JR函館本線(小樽〜旭川),琴似,1,141.307418,43.081599,1
11,11103,1110314,11103,1110314,1110314,1,JR,JR函館本線(小樽〜旭川),桑園,1,141.332036,43.070744,1
11,11103,1110315,11103,1110315,1110315,1,JR,JR函館本線(小樽〜旭川),札幌,1,141.350768,43.068612,1
11,11103,1110316,11103,1110316,1110316,1,JR,JR函館本線(小樽〜旭川),苗穂,1,141.377522,43.068574,1
11,11103,1110317,11103,1110317,1110317,1,JR,JR函館本線(小樽〜旭川),白石,1,141.413612,43.054715,1
11,11103,1110318,11103,1110318,1110318,1,JR,JR函館本線(小樽〜旭川),厚別,1,141.46369,43.045154,1
11,11103,1110319,11103,1110319,1110319,1,JR,JR函館本線(小樽〜旭川),森林公園,1,141.481332,43.056456,1
11,11103,1110320,11103,1110320,1110320,1,JR,JR函館本線(小樽〜旭川),大麻,1,141.496925,43.072382,1
11,11103,1110321,11103,1110321,1110321,1,JR,JR函館本線(小樽〜旭川),野幌,1,141.52984,43.092559,1
11,11103,1110322,11103,1110322,1110322,1,JR,JR函館本線(小樽〜旭川),高砂,1,141.540752,43.100084,1
11,11103,1110323,11103,1110323,1110323,1,JR,JR函館本線(小樽〜旭川),江別,1,141.55679,43.110189,1
11,11103,1110324,11103,1110324,1110324,1,JR,JR函館本線(小樽〜旭川),豊幌,1,141.62466,43.136446,1
11,11103,1110325,11103,1110325,1110325,1,JR,JR函館本線(小樽〜旭川),幌向,1,141.655839,43.151348,1
11,11103,1110326,11103,1110326,1110326,1,JR,JR函館本線(小樽〜旭川),上幌向,1,141.715391,43.18183,1
11,11103,1110327,11103,1110327,1110327,1,JR,JR函館本線(小樽〜旭川),岩見沢,1,141.759359,43.204201,1
11,11103,1110328,11103,1110328,1110328,1,JR,JR函館本線(小樽〜旭川),峰延,1,141.814673,43.264694,1
11,11103,1110329,11103,1110329,1110329,1,JR,JR函館本線(小樽〜旭川),光珠内,1,141.844655,43.292658,1
11,11103,1110330,11103,1110330,1110330,1,JR,JR函館本線(小樽〜旭川),美唄,1,141.862157,43.330751,1
11,11103,1110331,11103,1110331,1110331,1,JR,JR函館本線(小樽〜旭川),茶志内,1,141.87336,43.369842,1
11,11103,1110332,11103,1110332,1110332,1,JR,JR函館本線(小樽〜旭川),奈井江,1,141.889115,43.423718,1
11,11103,1110333,11103,1110333,1110333,1,JR,JR函館本線(小樽〜旭川),豊沼,1,141.901032,43.464224,1
11,11103,1110334,11103,1110334,1110334,1,JR,JR函館本線(小樽〜旭川),砂川,1,141.909642,43.493468,1
11,11103,1110335,11103,1110335,1110335,1,JR,JR函館本線(小樽〜旭川),滝川,1,141.900807,43.555278,1
11,11103,1110336,11103,1110336,1110336,1,JR,JR函館本線(小樽〜旭川),江部乙,1,141.935937,43.627564,1
11,11103,1110337,11103,1110337,1110337,1,JR,JR函館本線(小樽〜旭川),妹背牛,1,141.966591,43.690841,1
11,11103,1110338,11103,1110338,1110338,1,JR,JR函館本線(小樽〜旭川),深川,1,142.041642,43.721021,1
11,11103,1110339,11103,1110339,1110339,1,JR,JR函館本線(小樽〜旭川),納内,1,142.130072,43.732509,1
11,11103,1110340,11103,1110340,1110340,1,JR,JR函館本線(小樽〜旭川),伊納,1,142.27167,43.763305,1
11,11103,1110341,11103,1110341,1110341,1,JR,JR函館本線(小樽〜旭川),近文,1,142.325327,43.789193,1
